Compound,Date,Media Source,Negative,Neutral,Positive,Tweet,Tweets Ago
0.784,Thu Mar 29 08:00:12 +0000 2018,BBC,0.655,0.0,0.345,🐶❤️ Biscuit the robotic pup is helping the elderly cope with conditions like dementia. What a good boy! https://t.co/5vpg6KS031,1
0.0,Thu Mar 29 07:27:07 +0000 2018,BBC,1.0,0.0,0.0,👀🌸 The world famous cherry blossoms of Japan bring hundreds of thousands of visitors to see them and this year they… https://t.co/kGMsyZnWzi,2
0.0,Thu Mar 29 07:00:10 +0000 2018,BBC,1.0,0.0,0.0,"What do you get if you cross a polar bear and a grizzly? 

🐻😍… A pizzly! 
#DavidAttenboroughsNaturalCuriosities https://t.co/FwqiMiTd2m",3
0.0,Wed Mar 28 18:00:05 +0000 2018,BBC,1.0,0.0,0.0,🇮🇪 This 800-year-old hotel in Ireland is simply incredible.  #AmazingHotels https://t.co/OAKKCsexPW,4
0.296,Wed Mar 28 17:00:12 +0000 2018,BBC,0.891,0.0,0.109,"📚 'Words do not live in dictionaries. They live in the mind.'

Hear the only surviving recording of #VirginiaWoolf,… https://t.co/Puwg8Mve7N",5
-0.8225,Wed Mar 28 16:30:00 +0000 2018,BBC,0.688,0.312,0.0,The government rates the global outbreak of a deadly flu virus as a major threat to the UK. But how are flu vaccine… https://t.co/wzMylfDBrP,6
0.0,Wed Mar 28 16:00:10 +0000 2018,BBC,1.0,0.0,0.0,Slacking off in Dubai. https://t.co/a3oSKIxfSK,7
0.7506,Wed Mar 28 15:35:27 +0000 2018,BBC,0.72,0.0,0.28,RT @BBCTheOneShow: The fantastic @george_ezra warming up with a quick cuppa after sound check. Join us at 7pm where he’ll be performing liv…,8
0.0,Wed Mar 28 13:32:04 +0000 2018,BBC,1.0,0.0,0.0,"Two-thirds of drivers say they are ""regularly dazzled"" by oncoming headlights. 🚘 https://t.co/gwSgpsP6xx https://t.co/i9m9ph8QM1",9
-0.3182,Wed Mar 28 12:26:01 +0000 2018,BBC,0.887,0.113,0.0,"The Masked Plumber is back. 
And this time, he wants to show you how to unblock a sink trap. https://t.co/t1NIgRpZnO",10
0.0,Wed Mar 28 11:50:54 +0000 2018,BBC,1.0,0.0,0.0,RT @bbceurovision: We are starting a #Eurovision 2018 group chat. The tea from when @surieofficial met @saaraaalto 👉 https://t.co/c3PuiYT6S…,11
0.0,Wed Mar 28 11:49:07 +0000 2018,BBC,1.0,0.0,0.0,"RT @BBCR1: ""Last night I did have a very, very large bra, and it was very, very sweaty.""

@JaredLeto lets @Grimmers know about what gets th…",12
0.0,Wed Mar 28 11:47:35 +0000 2018,BBC,1.0,0.0,0.0,"RT @BBCRadio4: Listen to the first three episodes of The Hitchhiker's Guide to the Galaxy: Hexagonal Phase now.

https://t.co/GdvQZf3ijv

#…",13
-0.34,Wed Mar 28 11:47:08 +0000 2018,BBC,0.902,0.098,0.0,"RT @bbcworldservice: Do you say fireman or firefighter? The woman in charge of the London Fire Brigade, Dany Cotton, says 'fireman' is sexi…",14
0.0,Wed Mar 28 11:45:32 +0000 2018,BBC,1.0,0.0,0.0,RT @BBCBreakfast: Take a look at this if you're wondering WHO PAYS for running the new plastic bottle and can deposit scheme: https://t.co/…,15
0.0,Wed Mar 28 11:42:34 +0000 2018,BBC,1.0,0.0,0.0,RT @BBCNewsround: Some advice from children on what NOT to say to people with an #invisiblecondition https://t.co/mGUj3TWB2J #Dynamo https:…,16
0.3182,Wed Mar 28 11:30:09 +0000 2018,BBC,0.837,0.056,0.108,♻️👛 People in England will soon have to pay a deposit when they buy drinks bottles and cans in a bid to boost recyc… https://t.co/qyKBqES5b3,17
0.0,Wed Mar 28 11:04:03 +0000 2018,BBC,1.0,0.0,0.0,"😲 Scientists in Australia have discovered the remains of a mummy in a 2,500-year-old coffin that was previously cla… https://t.co/2S4q2mDImu",18
0.0,Wed Mar 28 10:53:47 +0000 2018,BBC,1.0,0.0,0.0,"RT @bbcthree: In our latest doc, we investigate allegations that R Kelly has been training a 14-year-old girl to be one his sex ""pets"" http…",19
-0.3612,Wed Mar 28 10:33:03 +0000 2018,BBC,0.865,0.135,0.0,Tickling sticks have been placed on statues in Liverpool ahead of Sir Ken Dodd's funeral. https://t.co/pPGGg07ZQi https://t.co/LSwzv5Qipw,20
0.784,Thu Mar 29 08:00:12 +0000 2018,BBC,0.655,0.0,0.345,🐶❤️ Biscuit the robotic pup is helping the elderly cope with conditions like dementia. What a good boy! https://t.co/5vpg6KS031,21
0.0,Thu Mar 29 07:27:07 +0000 2018,BBC,1.0,0.0,0.0,👀🌸 The world famous cherry blossoms of Japan bring hundreds of thousands of visitors to see them and this year they… https://t.co/kGMsyZnWzi,22
0.0,Thu Mar 29 07:00:10 +0000 2018,BBC,1.0,0.0,0.0,"What do you get if you cross a polar bear and a grizzly? 

🐻😍… A pizzly! 
#DavidAttenboroughsNaturalCuriosities https://t.co/FwqiMiTd2m",23
0.0,Wed Mar 28 18:00:05 +0000 2018,BBC,1.0,0.0,0.0,🇮🇪 This 800-year-old hotel in Ireland is simply incredible.  #AmazingHotels https://t.co/OAKKCsexPW,24
0.296,Wed Mar 28 17:00:12 +0000 2018,BBC,0.891,0.0,0.109,"📚 'Words do not live in dictionaries. They live in the mind.'

Hear the only surviving recording of #VirginiaWoolf,… https://t.co/Puwg8Mve7N",25
-0.8225,Wed Mar 28 16:30:00 +0000 2018,BBC,0.688,0.312,0.0,The government rates the global outbreak of a deadly flu virus as a major threat to the UK. But how are flu vaccine… https://t.co/wzMylfDBrP,26
0.0,Wed Mar 28 16:00:10 +0000 2018,BBC,1.0,0.0,0.0,Slacking off in Dubai. https://t.co/a3oSKIxfSK,27
0.7506,Wed Mar 28 15:35:27 +0000 2018,BBC,0.72,0.0,0.28,RT @BBCTheOneShow: The fantastic @george_ezra warming up with a quick cuppa after sound check. Join us at 7pm where he’ll be performing liv…,28
0.0,Wed Mar 28 13:32:04 +0000 2018,BBC,1.0,0.0,0.0,"Two-thirds of drivers say they are ""regularly dazzled"" by oncoming headlights. 🚘 https://t.co/gwSgpsP6xx https://t.co/i9m9ph8QM1",29
-0.3182,Wed Mar 28 12:26:01 +0000 2018,BBC,0.887,0.113,0.0,"The Masked Plumber is back. 
And this time, he wants to show you how to unblock a sink trap. https://t.co/t1NIgRpZnO",30
0.0,Wed Mar 28 11:50:54 +0000 2018,BBC,1.0,0.0,0.0,RT @bbceurovision: We are starting a #Eurovision 2018 group chat. The tea from when @surieofficial met @saaraaalto 👉 https://t.co/c3PuiYT6S…,31
0.0,Wed Mar 28 11:49:07 +0000 2018,BBC,1.0,0.0,0.0,"RT @BBCR1: ""Last night I did have a very, very large bra, and it was very, very sweaty.""

@JaredLeto lets @Grimmers know about what gets th…",32
0.0,Wed Mar 28 11:47:35 +0000 2018,BBC,1.0,0.0,0.0,"RT @BBCRadio4: Listen to the first three episodes of The Hitchhiker's Guide to the Galaxy: Hexagonal Phase now.

https://t.co/GdvQZf3ijv

#…",33
-0.34,Wed Mar 28 11:47:08 +0000 2018,BBC,0.902,0.098,0.0,"RT @bbcworldservice: Do you say fireman or firefighter? The woman in charge of the London Fire Brigade, Dany Cotton, says 'fireman' is sexi…",34
0.0,Wed Mar 28 11:45:32 +0000 2018,BBC,1.0,0.0,0.0,RT @BBCBreakfast: Take a look at this if you're wondering WHO PAYS for running the new plastic bottle and can deposit scheme: https://t.co/…,35
0.0,Wed Mar 28 11:42:34 +0000 2018,BBC,1.0,0.0,0.0,RT @BBCNewsround: Some advice from children on what NOT to say to people with an #invisiblecondition https://t.co/mGUj3TWB2J #Dynamo https:…,36
0.3182,Wed Mar 28 11:30:09 +0000 2018,BBC,0.837,0.056,0.108,♻️👛 People in England will soon have to pay a deposit when they buy drinks bottles and cans in a bid to boost recyc… https://t.co/qyKBqES5b3,37
